Country,total_records,matched_records_q1,match_rate_q1
Austria,121,83,0.6859504132
France,1035,492,0.4753623188
Germany,931,448,0.4812030075
Italy,1178,658,0.558573854
Norway,113,79,0.6991150442
Sweden,210,104,0.4952380952
